"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,14.891264264524,1,0,0,"COL6A3"
0,3.15316737137111,0.876,0.153,0,"PCOLCE"
0,3.0493943380594,0.873,0.189,0,"DCN"
0,2.82220311872188,0.825,0.172,0,"LUM"
0,2.63689749180183,0.794,0.16,0,"ISLR"
0,2.72378876063577,0.768,0.137,0,"FGFR1"
0,2.89165503144186,0.738,0.107,0,"OGN"
0,2.27937460417106,0.852,0.224,0,"COL5A2"
0,2.36321713613893,0.837,0.218,0,"FSTL1"
0,2.64679663619633,0.928,0.312,0,"COL6A1"
0,3.15433539737648,0.674,0.064,0,"CDH11"
0,2.37090297831077,0.771,0.166,0,"COL5A1"
0,3.53170202444933,0.948,0.344,0,"COL3A1"
0,2.73775140618136,0.699,0.098,0,"MRC2"
0,3.06215371935261,0.763,0.164,0,"MMP2"
0,2.59114249994333,0.77,0.173,0,"EMILIN1"
0,2.18783866217483,0.767,0.175,0,"CFH"
0,2.19218625086469,0.78,0.189,0,"MXRA8"
0,2.77326288511455,0.743,0.155,0,"TSHZ2"
0,1.98916130394037,0.846,0.261,0,"MEG3"
0,2.68069463678578,0.951,0.367,0,"COL6A2"
0,2.02130524846356,0.92,0.339,0,"CALD1"
0,2.32839884688591,0.773,0.192,0,"FKBP10"
0,2.69702815702892,0.701,0.121,0,"BGN"
0,3.2810745117603,0.692,0.113,0,"THBS4"
0,2.44093120715293,0.748,0.17,0,"FBN1"
0,2.30988137942983,0.681,0.106,0,"CPE"
0,2.68962333117076,0.658,0.09,0,"MEST"
0,2.11228350904567,0.818,0.25,0,"LAMB1"
0,3.04996996498435,0.618,0.056,0,"FMOD"
0,2.13080525775011,0.756,0.195,0,"AEBP1"
0,3.2971286309581,0.961,0.403,0,"COL1A1"
0,4.05173568757451,0.664,0.107,0,"FBLN1"
0,2.96901618080179,0.616,0.068,0,"MEOX2"
0,3.62144101053835,0.643,0.101,0,"CCDC80"
0,3.18171093351445,0.968,0.426,0,"COL1A2"
0,1.95912780893235,0.717,0.18,0,"LAMA2"
0,3.07841687061606,0.621,0.088,0,"PRRX1"
0,3.1344257768653,0.591,0.058,0,"BICC1"
0,2.07503157816319,0.683,0.152,0,"RP11-14N7.2"
0,2.6989872891741,0.613,0.082,0,"CYGB"
0,2.78369706815022,0.59,0.062,0,"EGFR"
0,2.08151343759089,0.687,0.161,0,"FAT1"
0,2.4217783410715,0.896,0.375,0,"MGP"
0,2.71599703000738,0.579,0.064,0,"MFAP4"
0,1.95902902941584,0.659,0.147,0,"DDR2"
0,3.33931395341562,0.69,0.178,0,"SERPINF1"
0,2.87587337547457,0.659,0.148,0,"C1S"
0,1.90034483617163,0.708,0.197,0,"LHFP"
0,2.28979430488433,0.607,0.097,0,"TMEM98"
0,2.8025186564724,0.572,0.063,0,"CRABP2"
0,1.96902002128849,0.828,0.319,0,"FN1"
0,1.97792898234543,0.654,0.147,0,"NFIX"
0,3.10221239379023,0.564,0.057,0,"BOC"
0,2.18905435510905,0.622,0.12,0,"OLFML3"
0,1.9470640010029,0.785,0.283,0,"APOD"
0,2.48952249677903,0.574,0.072,0,"CPXM1"
0,2.43697603653549,0.639,0.143,0,"IGF2"
0,2.31977210666894,0.598,0.105,0,"COL16A1"
0,2.71693802302358,0.571,0.078,0,"GPC3"
0,2.76543711978635,0.569,0.083,0,"PDGFRB"
0,3.05926504174215,0.651,0.168,0,"C1R"
0,2.08542817365717,0.622,0.141,0,"GPX8"
0,2.21501750506201,0.533,0.059,0,"SLIT3"
0,2.6301815899774,0.519,0.059,0,"GLT8D2"
0,2.95410526341887,0.493,0.048,0,"PLEKHH2"
0,3.65010356677039,0.434,0.026,0,"MXRA5"
0,-2.35389613181302,0.693,0.845,0,"HLA-C"
0,-2.00419094963703,0.94,0.958,0,"B2M"
6.14513228624565e-307,1.19960867669475,0.901,0.45,1.99317365704378e-302,"IGFBP7"
2.87896275200301e-301,2.36749275606935,0.515,0.069,9.33791568612176e-297,"ELN"
2.33915872517153e-299,-2.08929502819232,0.724,0.856,7.58706132509386e-295,"HLA-B"
2.43191826652918e-299,2.43466815712653,0.616,0.147,7.88792689748738e-295,"POSTN"
1.59428917687152e-297,1.91878861470592,0.63,0.144,5.17107694518279e-293,"TFPI"
8.59678857146227e-296,2.27518892561403,0.577,0.114,2.78836837315379e-291,"ZFHX4"
1.05873642286871e-295,1.54606410273684,0.86,0.383,3.43401158757467e-291,"LRP1"
7.11536551015849e-295,1.46322322203775,0.777,0.247,2.30786880321991e-290,"COL4A1"
3.64780525733517e-294,1.99782410356463,0.707,0.236,1.18316563521666e-289,"SEPT11"
5.31963368872012e-293,2.67169402831593,0.511,0.074,1.72542318693637e-288,"EBF1"
4.26915770456895e-291,2.11598455420098,0.629,0.163,1.38470130147694e-286,"CLEC11A"
8.29257305260804e-291,1.91619337346834,0.675,0.189,2.68969606961342e-286,"VCAN"
2.04927824586605e-289,2.11231564962242,0.809,0.343,6.64683399046655e-285,"IGFBP4"
2.5060058396838e-289,2.22779720648935,0.598,0.127,8.12822994101441e-285,"COLEC12"
5.27699158332945e-289,1.48282075890364,0.875,0.455,1.71159222005291e-284,"TTC3"
4.96135520210399e-288,1.72117927429507,0.722,0.218,1.60921555980243e-283,"NFIB"
