"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,4.0944949762238,0.874,0.119,0,"PCOLCE"
0,3.83834411484787,0.875,0.153,0,"DCN"
0,3.92346333389049,0.812,0.116,0,"ISLR"
0,2.80682202079759,0.866,0.183,0,"COL5A2"
0,3.66414186066083,0.82,0.144,0,"LUM"
0,4.44305654127661,0.742,0.073,0,"OGN"
0,4.47117663317294,0.961,0.304,0,"COL3A1"
0,3.59322878730182,0.765,0.108,0,"FGFR1"
0,3.3433694108891,0.782,0.135,0,"EMILIN1"
0,2.72099031412627,0.835,0.189,0,"FSTL1"
0,2.85372791810323,0.862,0.22,0,"MEG3"
0,2.5499804263752,0.937,0.297,0,"CALD1"
0,3.07967754540139,0.77,0.138,0,"COL5A1"
0,2.75132281928617,0.786,0.155,0,"MXRA8"
0,2.7116738094813,0.771,0.143,0,"CFH"
0,4.14961154912164,0.665,0.041,0,"CDH11"
0,3.60332870027236,0.695,0.072,0,"MRC2"
0,3.67461376502843,0.746,0.124,0,"TSHZ2"
0,2.76916495835687,0.828,0.214,0,"LAMB1"
0,4.47024239250403,0.694,0.084,0,"THBS4"
0,2.95722084249172,0.773,0.164,0,"FKBP10"
0,2.95710278288952,0.684,0.076,0,"CPE"
0,4.77983296474222,0.973,0.366,0,"COL1A1"
0,3.629226809052,0.75,0.145,0,"MMP2"
0,3.43464792466819,0.659,0.061,0,"MEST"
0,3.27965070205667,0.694,0.098,0,"BGN"
0,2.97716132202768,0.74,0.147,0,"FBN1"
0,4.14020376261699,0.616,0.03,0,"FMOD"
0,4.40874309450899,0.976,0.393,0,"COL1A2"
0,2.70752627949393,0.752,0.171,0,"AEBP1"
0,2.47992281961644,0.724,0.148,0,"LAMA2"
0,1.57812818712143,0.846,0.271,0,"CNN3"
0,4.23345409341893,0.624,0.06,0,"PRRX1"
0,2.73108310386554,0.694,0.13,0,"FAT1"
0,1.53119464419388,0.944,0.38,0,"SPARC"
0,3.67058632563618,0.607,0.048,0,"MEOX2"
0,4.51454012712701,0.649,0.091,0,"FBLN1"
0,4.19319534562719,0.634,0.081,0,"CCDC80"
0,2.97236643046708,0.899,0.347,0,"MGP"
0,3.73267000859788,0.61,0.058,0,"CYGB"
0,4.13634248969411,0.586,0.036,0,"BICC1"
0,2.59310629188176,0.665,0.117,0,"DDR2"
0,1.18192945646154,0.731,0.186,0,"IGFBP5"
0,1.68793771038018,0.769,0.228,0,"COL4A1"
0,2.14548632148149,0.729,0.189,0,"NFIB"
0,2.70594549478694,0.673,0.134,0,"RP11-14N7.2"
0,2.2485154853519,0.831,0.292,0,"FN1"
0,4.1648925042335,0.578,0.039,0,"MFAP4"
0,3.65703573785651,0.581,0.043,0,"EGFR"
0,2.28692201198463,0.708,0.171,0,"LHFP"
0,3.29547297072272,0.648,0.112,0,"IGF2"
0,3.46615023726747,0.657,0.125,0,"C1S"
0,3.55221921263845,0.575,0.046,0,"CPXM1"
0,4.6052932170381,0.562,0.034,0,"BOC"
0,3.68626337188592,0.577,0.049,0,"GPC3"
0,3.44305035844139,0.636,0.109,0,"POSTN"
0,1.85649906307473,0.687,0.162,0,"COL12A1"
0,2.00583875155616,0.719,0.196,0,"CDC42EP5"
0,2.6096971944508,0.648,0.127,0,"NFIX"
0,2.80277589011238,0.618,0.099,0,"OLFML3"
0,2.665425376644,0.596,0.08,0,"TMEM98"
0,2.19805782002357,0.725,0.21,0,"UACA"
0,-4.09390829781387,0.163,0.677,0,"SRGN"
0,3.40156128004756,0.56,0.047,0,"CRABP2"
0,3.79396353762548,0.571,0.058,0,"PDGFRB"
0,3.1331857049398,0.595,0.083,0,"COL16A1"
0,1.76829141401754,0.666,0.16,0,"TPM2"
0,3.35510830891607,0.537,0.032,0,"SLIT3"
0,2.36255468493659,0.627,0.123,0,"TFPI"
0,3.54948420365853,0.67,0.168,0,"SERPINF1"
