"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"COL6A1",9.39775613493541e-183,-3.53858338343657,0.375,0.994,3.0481622023663e-178
"COL6A2",1.83693317010464e-182,-3.44856138461019,0.454,0.992,5.95809273723441e-178
"COL1A1",4.03339081047074e-176,-4.62654306002892,0.532,0.989,1.30823030937619e-171
"COL6A3",3.59180865331677e-174,-5.95307665098576,0.056,0.894,1.16500313670329e-169
"COL3A1",2.0706589943273e-171,-4.05824325249494,0.431,0.98,6.71618244810061e-167
"COL1A2",1.96799155504749e-166,-4.13720899964455,0.539,0.978,6.38318060879655e-162
"PCOLCE",3.28793666742361e-153,-4.04594347125115,0.145,0.893,1.06644225807885e-148
"DCN",4.18156085484e-144,-3.78144573502775,0.158,0.887,1.35628926326735e-139
"OGN",1.06820712962722e-130,-4.7595087353398,0.089,0.791,3.46472982494589e-126
"ISLR",1.81362422131504e-130,-3.87345515082033,0.189,0.855,5.88249016183534e-126
"FGFR1",7.31160562045836e-128,-4.09860885514462,0.121,0.816,2.37151928299567e-123
"LUM",1.10055397338401e-127,-3.88431248774251,0.133,0.817,3.56964681267105e-123
"CALD1",2.28627229450777e-126,-2.39346543426793,0.44,0.939,7.41552418723596e-122
"B2M",2.04424259988608e-119,2.55052938918641,0.967,0.876,6.6305008727305e-115
"TSHZ2",3.61628195190449e-116,-3.51287284515085,0.205,0.822,1.17294105110022e-111
"POSTN",5.14235817482983e-116,-3.49801148082019,0.172,0.811,1.66792387400606e-111
"MGP",1.27408011075681e-113,-2.51575776255463,0.461,0.92,4.1324788392397e-109
"CFH",3.25425699658042e-113,-3.71194762593073,0.119,0.773,1.05551825684086e-108
"FSTL1",2.75096289971283e-108,-2.44428896295225,0.238,0.838,8.92274816521858e-104
"IGF2",3.67742389327173e-105,-3.8292589432053,0.184,0.778,1.19277243978268e-100
"CDH11",3.01872457821937e-103,-4.2046159575745,0.058,0.666,9.79123316945452e-99
"GPC3",4.07923931425665e-103,-3.91915617697621,0.065,0.682,1.32310127157914e-98
"THBS4",1.31102878268155e-101,-4.66675591281332,0.137,0.731,4.2523218566276e-97
"MEG3",2.31973775593347e-101,-2.55565387586851,0.361,0.888,7.52406941137021e-97
