"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TRAP1",4.38162608101135e-261,10.6196389789678,1,0,1.42118041937603e-256
"PLEKHG1",1.29590704872043e-17,0.947480442458465,0.517,0.207,4.20327451252471e-13
"ALS2",1.3932967398622e-17,1.25357206933451,0.389,0.128,4.51915797574306e-13
"ZNF586",2.05930549535887e-17,1.56230144479329,0.335,0.104,6.6793573741965e-13
"WDR35",4.75802171661001e-16,1.17124355472979,0.404,0.148,1.54326434378246e-11
"RNF152",1.22934694640127e-15,0.87392082719508,0.305,0.091,3.98738682065252e-11
"ATAT1",1.23786133070946e-15,1.6298929719259,0.281,0.08,4.01500322615614e-11
"ROBO1",1.30865358668189e-15,1.32810614027791,0.419,0.165,4.24461790840272e-11
"ZNF521",1.52626576559715e-15,1.16897324087297,0.424,0.166,4.95044301071437e-11
"MYH10",1.56346412405874e-15,0.716087067564795,0.527,0.227,5.07109588638453e-11
"TPST1",1.99445942840471e-15,1.08000872471628,0.552,0.258,6.46902915603066e-11
"RP11-152P17.2",2.04926370751823e-15,1.49264063475353,0.365,0.135,6.64678683533537e-11
"HMBOX1",2.06822897613742e-15,0.856213952900246,0.517,0.227,6.70830068410171e-11
"TGM2",2.13854101516491e-15,1.34040495540153,0.261,0.071,6.93635778268737e-11
"SFRP1",2.64653594647144e-15,1.5319238270573,0.374,0.14,8.58403934238013e-11
"RBMS1",3.15493405130439e-15,0.839191574992391,0.754,0.433,1.02330285954058e-10
"TFPI",5.26466635066338e-15,1.02346509602228,0.626,0.333,1.70759453083767e-10
"RP11-761E20.1",5.29173888285588e-15,1.64886255522233,0.251,0.069,1.71637550665431e-10
"GMDS",5.99647065410921e-15,0.886264547887159,0.483,0.207,1.94495525666032e-10
"SULF2",6.02757579871248e-15,0.701496910184993,0.458,0.182,1.95504421031239e-10
"IFT172",8.17566027761894e-15,1.48445785356273,0.36,0.128,2.6517754110457e-10
"WWTR1",9.46989685056237e-15,0.726908368690492,0.724,0.387,3.07156104347991e-10
