"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,12.8107386417287,1,0,0,"TRAP1"
1.67515439843683e-81,1.26271399442136,0.53,0.208,5.43336329132986e-77,"TPST1"
2.40905010565294e-80,0.970891910071906,0.545,0.218,7.8137540176853e-76,"PKIG"
8.47393029874748e-75,1.12754348921085,0.517,0.21,2.74851929239874e-70,"MTHFD1L"
9.97274556851521e-75,1.04172547060262,0.548,0.228,3.23466002514791e-70,"TJP1"
6.76346375374286e-74,1.47147877815823,0.463,0.182,2.1937294685265e-69,"SULF1"
2.25342059123555e-73,0.810943153380335,0.645,0.295,7.30896968767249e-69,"PAM"
5.91325670399828e-73,0.885988936268492,0.544,0.218,1.91796481194184e-68,"BACE2"
5.17287142428355e-72,1.00512057490924,0.51,0.206,1.67782084646637e-67,"TANC1"
4.71075604953923e-71,0.89203997541082,0.474,0.183,1.52793372466805e-66,"ASAP2"
1.24301173661978e-70,0.85751555113621,0.573,0.246,4.03170856772627e-66,"CTTN"
2.12927227580755e-70,1.13097934150788,0.479,0.192,6.90629462658178e-66,"PLAT"
3.19606240979495e-70,1.27473570159625,0.421,0.155,1.03664284261699e-65,"FBXL7"
7.89020434681702e-70,0.964342575755479,0.574,0.253,2.5591877798901e-65,"DPYSL3"
8.92782398253639e-70,0.894787438654841,0.731,0.387,2.89573970873568e-65,"DLC1"
2.73015875229721e-69,1.08705436422117,0.501,0.207,8.855269913076e-65,"TTC28"
2.32048607242623e-68,1.01502052382544,0.362,0.117,7.52649657591447e-64,"DOCK6"
2.49655343245945e-68,0.871221307769609,0.48,0.19,8.09757105818222e-64,"P4HA2"
3.46130590095708e-68,1.05777559245091,0.559,0.248,1.12267456897543e-63,"LAPTM4B"
1.52951433254216e-67,1.35902942582859,0.331,0.104,4.96097973760049e-63,"DNAH14"
3.88016368679057e-67,0.82830737933743,0.65,0.321,1.25853109181052e-62,"PPFIBP1"
8.26350044089099e-67,1.12990586636534,0.626,0.312,2.68026636800299e-62,"BMPR2"
1.67892595173597e-65,0.979777814259088,0.46,0.183,5.44559632445561e-61,"FRMD6"
1.86807483212822e-64,1.27373735669849,0.465,0.193,6.05910071800787e-60,"IGF1R"
2.88007474259613e-64,0.931681947986726,0.612,0.304,9.34152242761054e-60,"PTK2"
