"gene","p_value","avg_log2FC","pct.1","pct.2","adj_p_value"
"ADAM17",3.35515694354138e-06,1.5358456551785,0.727272727272727,0.205128205128205,5.70376680402034e-05
"TIMP3",0.00263072565248809,0.766430817817484,0.818181818181818,0.371794871794872,0.0223611680461488
"ADAM10",0.01372006187981,0.232350367545855,0.636363636363636,0.294871794871795,0.0777470173189236
"TIMP1",0.0688722055672627,0.399786721364699,0.954545454545455,0.782051282051282,0.27200699741296
"TIMP2",0.0849351137479341,0.286040571015544,1,0.628205128205128,0.27200699741296
"CTSK",0.1152107007719,0.466984967334063,0.409090909090909,0.217948717948718,0.27200699741296
"PLAUR",0.12400002268836,-1.39199739270403,0.454545454545455,0.217948717948718,0.27200699741296
"MMP14",0.138846253487599,0.0623157015807264,0.545454545454545,0.294871794871795,0.27200699741296
"MMP2",0.144003704512744,0.872644059840451,0.545454545454545,0.397435897435897,0.27200699741296
"CTSL",0.17024130524194,-0.285112194343237,0.772727272727273,0.41025641025641,0.286634305834865
"MMP9",0.185469256716678,-1.52029666253006,0,0.0769230769230769,0.286634305834865
"CTSB",0.308401516193579,-1.06676927357345,0.636363636363636,0.371794871794872,0.436902147940903
"CD44",0.359895767361566,0.0154004939641286,0.590909090909091,0.423076923076923,0.47063292654974
"CTSD",0.403511969086049,-1.76125995990922,0.5,0.487179487179487,0.489978819604488
"MMP3",0.460699420081267,-0.690954175955979,0,0.0256410256410256,0.522126009425436
"PLAU",0.835526728399617,-0.0154970026463602,0.136363636363636,0.153846153846154,0.886124495287814
"TIMP4",0.886124495287814,-1.68009896084929,0.0454545454545455,0.0512820512820513,0.886124495287814
"MMP1",NA,0,0,0,NA
"MMP7",NA,0,0,0,NA
"MMP13",NA,0,0,0,NA
